"","BjSa-1","BjSa-2","BjSa-4","BjSa-5","BjSa-6","BjSa-7","Past-1","Past-2","Past-3","Past-4","Past-5","Past-6","Replant-1","Replant-2","Replant-3","Replant-5","Replant-6","Replant-7"
"96b3c221f6af49f5f5600b46c1d79d39",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"e00f657d0a4f78109cd0438f2c4c9fe3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"78d08f44a3c880c61c8848060ee0622a",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"6e395ade605d38a20cad91f6b023eee0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"69bcab85540dea34525dcca4013a6d8a",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"cf8daddd8bf2caea503f78a1f9d4dc85",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d9af9357f0518e5d2bf767a71592f4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"6416922270d39102b6edbb5e541d3176",0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,0,0,0
"512ae4c5d429acc41f7880b71fd69b66",0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0
"30602f1ec2da3be199b17b2f561acfeb",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240e1089b252708e1cbc22c7777c1362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"41e62b3f1f447c9cfcb351e521bc640c",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"57923d8f419df85192b626982a8aebd5",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"255a8b8ba1cf2eced647fc6014340c45",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1f85a142ce153d0830bc2024f040df41",0,0,33,0,0,0,0,0,0,0,0,0,7,12,10,0,6,14
"143211c30f959711bcf3c9e81d3ef330",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
"77b8d193ec739cfb48be749377627fd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"a31d2c6174221afa352060c8c283da5f",0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,0,0,5
"eb56b0765a940dc8940795e40ef85f87",10,0,8,0,0,0,0,0,0,0,0,0,32,0,0,14,62,0
"b28ee817ed8637b7d4473fa3842679ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"8ceaae185c00d1afecdfe7245e8fe79a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"0d63b0dd4bc6e3fe86b6c4cc6186be46",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"5da32e051bdda695c26f4cc556c3aede",0,0,0,3,0,0,0,0,0,0,0,0,90,53,202,0,97,32
"a50708b41dd0b95be5c1829f80abe65b",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,6
"65d27518da396d61978a7ac2c0f505c8",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6e8ebb774db591ab6077fcdd84080efd",3,0,122,0,3,11,0,0,0,0,0,0,92,74,140,9,51,10
"7d4a6f61b372292ed5cc1cf69ca39a5f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"69f429e3fadb66d81ee1ae077e7f8375",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0
"4b638065c97233afa914b8e2f7904684",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"9afa8be91ea4adde4ae555630e348771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"1f59c92faab9c89537a6b8efb7f53cd6",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"b1e31e66a7abd8f45aa916d21f51130d",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"0278138efe0148da96dd52c96569dc16",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0426033e93f08ce958c4e9e501150205",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"3cc513f1597b7ad7bb45d876cf9eea7d",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a8617fa4de2abf9526d17ec09e255d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"d6430b70864e94aa40a51c953c1ab6bb",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019a3aadf589952a3210c4c26f12344e",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b0a9389e3abd0a08a21b7e718703259",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"99ec5d5c8ab365a95717a8c12935dd5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2f903d4ade19b7ec490c5c912acf3aed",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"8ca396c671b15c489243723b874935d4",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"f758ee1c7d2dc75a24bdd3e7d65b1754",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"539482a49129b72036fe43ef3f611876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"3734613ec4b3e2620ad53746de4915e5",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78722e880839abbb17211bcb64f8ce6e",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"5e1a93d5652b035aaea45a02ff74e768",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"72e6fa864c213d606d3dd12aa3c877e3",0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0
"16ee87485190999c11fc349f6b41a3a4",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"7b4b968ec929c51e5358c52286539db6",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"350e910b0c8a831c4ced5d90c54006f3",0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,3,9
"cbb99a7393b093cb74cfa2b8adb2aa94",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"88a4a6773e1f1770466a3547f243bb63",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"01337b5e6a52ff61b540a343d0394112",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"8fed4742aac27269a35737feed5d4a47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"b80738506672962cb28dbc08bf07a0ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"6521d84059aa7b199c67adb139a0765c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"8f6f2f709c07972fb531349007a1d461",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,2
"1676c1c0d8612fda61904c35e96503ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"7931d783565effeae30bbc335f5f7cda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"a7dc615b91b2ab2a04b746466edd730f",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"dddfe1ecfc0ba81de7a5002d93e49dab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"3f1c8f0364568de1655d71784257cca0",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c00b22643c55e7eeaa05fd5fd1f4e7e6",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ed029cb312b279d87dd92f82b4952736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"f7f5c110d3be58572fded37d6b1e8533",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"9865525512aa8fab5e0d59a35985f48c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"72c4d1a66cbf0e9aa3d453ac17a1c33c",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"5ecb121e5399ea3cfadb823881851958",0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0
"6e9ba00917f509227de345e0268cd156",9,0,0,0,0,3,71,55,0,198,89,72,0,0,0,0,0,0
"0fe86a6e0fff61291881798628b96187",0,10,0,0,0,0,0,0,63,0,0,0,0,0,3,0,0,0
"bb4fd3a3599a0c292c5b533a2a9a02c6",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"90445960218e5eccf5d0579a0de69b01",0,13,11,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0
"91587e80b6533c976db9b2ecfe2fefd4",0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0
"d32b6efcbcce5ece839865a0e9b7d53c",0,0,0,0,0,0,6,0,0,10,0,0,2,0,2,0,0,0
"2503906967175ec1413d791c30b908b6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"965ff3b6812ed53fd67f06b63ff8e6f4",5,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"5fbaf73865ad8f172700f155e3dc8b7f",0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6bf4f5701cd25054eda826cb185cb2ba",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"d99bf472c489a6e119817b8c3701e5ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"acb3ef4d9fa9a94ed0bdece80a339a16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"cc8724ea232cfe56f3fb9b0bc325ddde",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"6903b5dfe29f370bb48439b688810a44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"d6b88bd05ca0213b60b81b7601f59072",27,16,28,24,38,45,93,42,53,57,46,76,0,0,0,0,0,0
"0a04e4f16523150f91c0151a10ba2b8d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0
"976714e3a92e5a34268c8fb0b49a3f29",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"f7c10d063a564f18a9b32828ce78a429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"69d35faea9eb6fc17a7ed9a03928ca87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"f39bf0e863281e430f72283341625d22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"68345b3f6502651d9b9faa32fd3ee501",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9dbda93b9aff1cb8de9808dc1633a97d",0,0,0,0,0,0,18,0,0,11,14,26,0,0,0,0,0,0
"0b9307cece185692eeb2687c798567fe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"3edc68f76555b0ccf9b4ab39aa568bf9",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"385cc70fc6aefaac97c794febf6f61ab",0,28,17,0,10,6,11,0,0,3,0,0,7,12,6,7,10,9
"b90aa7d8f5a199545b4931324530aeb2",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d43c3e0cdba88c20888494bb62eb58ad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"3a2216e02115d2084dc42a874eb4b4fb",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554b86f944b85189e9cd7c1e871c458f",0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,13,5,15
"a938b693978598235de5a3302b10298e",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ca5f2b41cdd40097db6e037f3f89add",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"b62c37a723a6068f79d3d45967d843ef",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590deacecdbd2d5cc85200b0af364e1a",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7da8fe91408d90d1916230bc00981c91",0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"7dbe190f3ccc88e02c9c3e2a7e38ee7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"b44ee7eecc20823adafe8fc66087d052",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"f78f10ede601251bcc6f40caeca8a2ae",6,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa2bb4744647a5bc97aa026deeb01121",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"132c55aa46de7ad7975d7f8378c66bb3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5
"87e483b7eb7166b30c9345df0fccdf2c",12,12,7,11,10,11,0,0,0,0,0,0,0,0,4,0,0,0
"0138453e57b6ec69574ebba6d4a4a5c4",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6f7ad0a1732ca4fb85208ae1de4a4e7",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
"2a9364a450e2688e0c3926fef352aba3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"33d184c106b3e76581f7ae769d2f5466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"6356df15142db8ce80975083f7ebf944",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"20d19f80c8f734909934b5f77f90c895",21,71,4,12,19,0,0,0,0,0,0,0,0,0,11,19,0,0
"8dc71e15670d2e39584c06c621425f15",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"43a566d6fa8b51a220db329d35a4739b",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"3b5e325bc8b12cc2513229aff2df57d0",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"a2504464bce42dd6d3a12389c2f13360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"58c0e5509399e55876f9e51e7632b4a5",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"335ea724535d4470e2ff24a48d2b485e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ab75118211f0b9ced3d9ad99eaf71b75",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"ca23b5d82e8f9dbac030ef765ca8bc7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"b4b4e996ecbf08100c830e4f70041c8e",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"a458897c15ce64e228f7cec57a66f858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"4f7b5122a0e17bb75ea38593f95de9c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"b4a73553caff14a7f83368b189ee9c99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2a74c2c9b5ead127ecbd33ea78cabb7c",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8e01a06305800672045373bb9afd5196",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"edbeb57507d562bb5c6357bac8522d0f",0,22,22,9,0,9,0,0,0,0,39,0,0,0,0,0,0,0
"65abf52006a8c37e93aecf6f3689296b",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a6ba3c01df6c0752682efaf8713aa2",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"78f872288c08f694ca974522c15abe21",55,42,120,23,22,0,0,10,0,4,26,137,0,0,0,0,0,7
"faa1a2ee4ed2c921739cb9a63880a9de",15,26,68,13,7,21,0,0,0,0,0,0,0,7,13,0,0,0
"cb43c754f43ebbd6568b114b2b5f07fa",0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,5
"063a9a7e16445d891f1207c333d380c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1ea5870e4c82b692ad3a847fa69d4089",0,0,0,2,0,0,0,0,0,0,0,7,0,4,0,0,0,0
"dc23e270292c0ca90d72520a32709528",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adb4b8197d4101bd2e4c555fd37c4eb2",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"90b80812efa632638fe4f26312db75ad",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239c3be49c5b200e84445a72d36bd5ad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3e1ef00a4d1cf835fbc386521426c5d2",6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"110a6ae719998227f2325d3e0665d09d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"11177babc19a1e9cd84a0be187cd7849",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"8ab6f60a533564d79628657e782e1694",0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2b300b3169b550dfa457a9d88db2dcb",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"613defe2f6e874c9ef8211a7b258c0e3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5f36cc6a1fcd1e04b283281e56157302",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3be51cd696674cffbe3a621d8e64a392",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a782f089e67b35e6b3b75ec738e3d4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,4
"c3665f45f892051f00919946ffbc68cd",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"5b62c0e691e23570e555eca94b2253db",0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,16,0
"68ce11cb5aa36932a21835b791f086eb",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"9bf06bf6cf731fafe6aa54d74594c3ba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0
"94865d03ebde087e391626a8b154d76b",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"c5793c788665b026ca9d9e50d5e59cca",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"be9b8db6525325cfca6c43b694c5c903",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"662d2c891982353316d5d09c776c8ae1",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"446169e4378ea63d63dce090438e8d6d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"9219bdb074f50a07c50d0c4f45b90471",0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0
"6fd284cfa31bd1472587ebfd6d79fa4b",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"cc91aa24edda4eb6aead10a2bac56460",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"4b2e1d349004c0225b7d32b2fef178de",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0
"ae5b0fe4b1898c25d2c2cb56b5ef23f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"3015064597f254d92cd6348f41edf568",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05a30d263afb9656d31e9c9dd9a824d3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"e8e24a3c37fa11363a568bb52413113d",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"9b726c64bf945277fd00b220ed0af69b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"0480b157a9b77fee10a9656957f8c0db",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"9c2d3e9cbcabbbb4df50fbf317274ebc",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ec20533e1e9155ab5ae058b569190c3d",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"19fc52fa46f4b0c053d07acc3d8c9795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"c74b1bdd3a307ecd54dc2bcee7a3c2f7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1fa7c8b9ff71b9cdaae9e4a4e1db5b89",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"bff0a24b1ad79107864ecc618fe670ee",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"8347d99d2c15fe004f3fb57f13414688",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"2e8f61baad8e011790ca7fc84c75dd87",0,0,0,0,0,0,13,0,34,79,98,23,0,0,0,0,0,0
"89ed0e12145753639f2b978447c9394e",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7708df56ae0b0a267d23fb803920ea86",0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4
"c39f780d3225862307b6c715fdea417f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"5175db001a3472774107dc17b6ab89a2",0,4,5,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"09e6b735a95eb2485c7ffc36c0b8ffaa",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5837c5204277d3e1b0c26c30b890949d",0,9,11,0,0,32,0,0,4,6,30,14,0,9,0,4,0,0
"f7ce59df42468c0369641b5deaf2fe52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"46974ab4a86faa14832df0edcc098ed0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"055be0f5523aa3665d702a81fe963872",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"54112ccb8d31e52333ebfd6bbed8161d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"275eb926e7c2f979eb44b3352382d2c8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"603485d926557db79312b009a3780a94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"89163ba02fd1c55b8f39e051f153629a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"5396793d15b6df493bf3120dab493f33",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"b75d2bd8d35cd0ba3dca5fc7b7c377c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"6db65ce8e51fcb3404e3cc06d5682f06",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"08a3acb79fafebcd94abe4b80608bd49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"c45ba92beb7410f120399019748957dd",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"bbf16e9080350b98272581855b88a2d6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"34d0abe181f870e70a914f87cf91d429",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"67af99d011c611fe17a59d736e424ae2",0,0,0,0,6,8,26,0,0,9,4,0,0,0,2,0,0,0
"e0fb5c1bfb3f27b91c0edf334f279e6a",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
